# Name         	     ra	    dec	   dist	disterr	   vlos	vloserr	  sigma	   rmax	   pmra	  pmdec	    plx	 pmra_e	pmdec_e	 pmcorr	  plx_e
NGC_6121_M_4   	245.897	-26.526	   1.85	   0.02	  71.21	   0.15	    4.7	   30.0	-12.521	-19.013	  0.560	  0.027	  0.027	 -0.000	  0.010
NGC_6101       	246.450	-72.202	  14.45	   0.19	 366.33	   0.32	    2.7	   10.0	  1.755	 -0.259	  0.082	  0.025	  0.025	  0.002	  0.011
NGC_6144       	246.808	-26.023	   8.15	   0.13	 194.79	   0.58	    2.7	    6.0	 -1.741	 -2.607	  0.134	  0.026	  0.026	 -0.005	  0.011
NGC_6139       	246.918	-38.849	  10.04	   0.45	  24.41	   0.95	   11.5	    8.0	 -6.080	 -2.703	  0.113	  0.027	  0.026	  0.003	  0.011
Terzan_3       	247.167	-35.353	   7.64	   0.31	-135.76	   0.57	    2.3	    5.0	 -5.574	 -1.757	  0.133	  0.027	  0.026	  0.002	  0.011
NGC_6171_M107  	248.133	-13.054	   5.63	   0.08	 -34.71	   0.18	    4.3	   10.0	 -1.938	 -5.979	  0.194	  0.025	  0.025	  0.000	  0.011
ESO452_SC11    	249.854	-28.399	   7.39	   0.20	  16.37	   0.44	    1.5	    2.0	 -1.426	 -6.468	  0.160	  0.030	  0.029	 -0.034	  0.014
NGC_6205_M_13  	250.422	 36.460	   7.42	   0.08	-244.90	   0.30	    9.2	   25.0	 -3.139	 -2.567	  0.125	  0.024	  0.024	  0.002	  0.010
NGC_6229       	251.745	 47.528	  30.11	   0.47	-137.89	   0.71	    7.1	    6.0	 -1.173	 -0.463	  0.039	  0.027	  0.027	  0.009	  0.011
NGC_6218_M_12  	251.809	 -1.949	   5.11	   0.05	 -41.67	   0.14	    5.0	   15.0	 -0.195	 -6.802	  0.206	  0.025	  0.025	  0.001	  0.010
FSR_1735       	253.044	-47.058	   9.08	   0.53	 -69.85	   4.88	    2.7	    2.0	 -4.526	 -1.437	 -0.034	  0.054	  0.046	 -0.058	  0.038
NGC_6235       	253.355	-22.177	  11.94	   0.38	 126.68	   0.33	    4.1	    4.0	 -3.939	 -7.604	  0.092	  0.027	  0.027	 -0.005	  0.012
NGC_6254_M_10  	254.288	 -4.100	   5.07	   0.06	  74.21	   0.23	    6.2	   20.0	 -4.754	 -6.605	  0.198	  0.025	  0.025	 -0.000	  0.010
NGC_6256       	254.886	-37.121	   7.24	   0.29	 -99.75	   0.66	    5.6	    4.0	 -3.714	 -1.635	  0.161	  0.031	  0.030	  0.006	  0.012
Pal_15         	254.963	 -0.539	  44.10	   1.14	  72.27	   1.74	    1.2	    4.0	 -0.596	 -0.885	  0.028	  0.035	  0.032	 -0.014	  0.024
NGC_6266_M_62  	255.303	-30.114	   6.41	   0.10	 -73.98	   0.67	   15.3	   10.0	 -4.986	 -2.939	  0.178	  0.026	  0.026	  0.005	  0.010
NGC_6273_M_19  	255.657	-26.268	   8.34	   0.16	 145.54	   0.59	   11.8	   10.0	 -3.251	  1.676	  0.140	  0.026	  0.025	  0.003	  0.011
NGC_6284       	256.119	-24.765	  14.21	   0.42	  28.62	   0.73	    7.3	    4.0	 -3.198	 -2.006	  0.098	  0.028	  0.027	  0.010	  0.012
NGC_6287       	256.288	-22.708	   7.93	   0.37	-294.74	   1.65	    6.3	    6.0	 -4.999	 -1.870	  0.149	  0.027	  0.027	  0.002	  0.011
NGC_6293       	257.543	-26.582	   9.19	   0.28	-143.66	   0.39	    6.8	    5.0	  0.880	 -4.330	  0.131	  0.028	  0.027	  0.002	  0.011
NGC_6304       	258.634	-29.462	   6.15	   0.15	-108.62	   0.39	    5.0	    5.0	 -4.087	 -1.074	  0.171	  0.029	  0.028	  0.013	  0.011
NGC_6316       	259.155	-28.140	  11.15	   0.39	  99.65	   0.84	    9.0	    4.0	 -4.981	 -4.602	  0.102	  0.030	  0.029	  0.012	  0.012
NGC_6341_M_92  	259.281	 43.136	   8.50	   0.07	-120.55	   0.27	    8.7	   15.0	 -4.940	 -0.629	  0.111	  0.025	  0.025	  0.002	  0.010
NGC_6325       	259.497	-23.766	   7.53	   0.32	  29.54	   0.58	    6.4	    3.0	 -8.299	 -9.001	  0.164	  0.030	  0.029	  0.019	  0.012
NGC_6333_M_9   	259.797	-18.516	   8.30	   0.14	 310.75	   2.12	    8.1	    8.0	 -2.171	 -3.206	  0.136	  0.026	  0.026	  0.005	  0.011
NGC_6342       	260.292	-19.587	   8.01	   0.23	 115.75	   0.90	    5.6	    4.0	 -2.906	 -7.130	  0.134	  0.028	  0.027	  0.000	  0.012
NGC_6356       	260.896	-17.813	  15.66	   0.92	  48.18	   1.82	    7.6	    8.0	 -3.756	 -3.396	  0.095	  0.026	  0.026	  0.001	  0.011
NGC_6355       	260.994	-26.353	   8.65	   0.22	-195.85	   0.55	    6.6	    3.0	 -4.753	 -0.569	  0.143	  0.032	  0.031	  0.032	  0.012
NGC_6352       	261.371	-48.422	   5.54	   0.07	-125.63	   1.01	    3.5	   10.0	 -2.159	 -4.438	  0.190	  0.025	  0.025	  0.004	  0.011
IC_1257        	261.785	 -7.093	  26.59	   1.43	-137.97	   2.04	    1.9	    2.0	 -1.031	 -1.490	  0.054	  0.035	  0.031	  0.083	  0.025
Terzan_2_HP_3  	261.888	-30.802	   7.75	   0.33	 134.56	   0.96	    3.9	    2.0	 -2.162	 -6.226	  0.126	  0.040	  0.037	  0.070	  0.021
NGC_6366       	261.934	 -5.080	   3.44	   0.05	-120.65	   0.19	    2.9	   12.0	 -0.337	 -5.163	  0.288	  0.025	  0.025	  0.005	  0.010
Terzan_4_HP_4  	262.663	-31.596	   7.59	   0.31	 -48.96	   1.57	    4.4	    3.0	 -5.470	 -3.734	  0.131	  0.054	  0.047	  0.100	  0.036
